seed,mechanism,arbitrage_free_by_design,n_queries,n_rows,n_determinacy_pairs,revenue_train,revenue_naive,revenue_strategic,leakage,served_naive,served_strategic,surplus_strategic,welfare_strategic,mono_violation_rate,mono_max_excess,sep_violation_rate,sep_mean_gain,sep_max_gain,price_mean,price_cv,fit_time_s,audit_time_s,lattice_time_s,plans_checked,plans_failed,revenue_naive_norm,revenue_strategic_norm,revenue_train_norm,generalization_gap
1,envyfree_mono,False,70,6000,286,12459.382761096731,8407.954996970706,8736.544501303764,-0.03908078771252299,0.46625,0.48875,6392.177643591944,15128.722144895708,0.0,0.0,0.11428571428571428,0.01768452738987908,0.8599093189402327,29.649263246776652,1.4403748466690045,0.9769024000006539,3.7990034000004016,1.4410382999994908,8,0,0.6538781991413659,0.6794322742318565,0.9689536593825914,0.32517082441485246
1,monopoly_free,False,70,6000,286,12858.595083933878,8280.910389968629,8590.221118715359,-0.037352261307093126,0.4425,0.47125,6194.679215376014,14784.900334091373,0.07692307692307693,2.1719069912685742,0.2571428571428571,0.05191797527436338,0.7245869599089169,36.13268029915415,1.650062516944403,0.0012309000003369874,3.3473650000005364,1.4410382999994908,8,0,0.6439980679005267,0.6680528520140102,1.0,0.3560019320994733
2,uniform,True,70,6000,247,5891.030820356478,5592.210416425352,5592.210416425352,0.0,0.16375,0.16375,6621.193902750509,12213.404319175861,0.0,0.0,0.0,0.0,0.0,42.688629133017955,1.66447775482798e-16,0.003334299999551149,1.3420667000000321,6.266224400000283,0,0,0.5285834566307733,0.5285834566307733,0.556828374160662,0.050724637681159424
2,compute_metered,False,70,6000,247,8010.440941746716,7794.011502021343,7623.445746066533,0.021884206343623647,0.82875,0.83125,8168.098949860834,15791.544695927367,0.0,0.0,0.17142857142857143,0.02150373018636155,0.19117738214669613,24.179291988675054,1.3749780545814192,0.14731529999971826,3.727031999999781,6.266224400000283,8,0,0.7367007379868751,0.7205786270232705,0.7571579477210943,0.027018417749944623
2,demand_catalog,False,70,6000,247,5879.810310551783,6093.739668738304,6626.5372052313205,-0.0874335901197647,0.22125,0.25625,7493.576382263179,14120.1135874945,0.2388663967611336,2.519792678553509,0.45714285714285713,0.29580702347186155,0.715892357497897,35.65865973489518,0.4898228091132736,0.002569499999481195,3.136529899999914,6.266224400000283,8,0,0.5759886946401264,0.6263494540809096,0.555767796067909,-0.03638371765201476
2,version_chain,False,70,6000,247,7355.999968249207,6911.243746499767,6911.243746499767,0.0,0.425,0.425,8638.214092418555,15549.457838918323,0.0,0.0,0.0,0.0,0.0,29.857677955764608,0.5536529555861212,0.06741169999986596,2.347023600000284,6.266224400000283,0,0,0.6532603098074837,0.6532603098074837,0.6952992825113463,0.060461694354152606
2,support_set,True,70,6000,247,8663.548023190691,8450.27880336456,8450.27880336456,0.0,0.67375,0.67375,6913.9883738221,15364.267177186659,0.0,0.0,0.0,7.451566235728354e-17,2.4711264709385037e-15,25.891173485204675,1.186274156088011,1.6129711000003226,3.861767399999735,6.266224400000283,0,0,0.7987320302284654,0.7987320302284654,0.8188905316105906,0.024616845114178387
2,envyfree_mono,False,70,6000,247,10530.125010049598,8426.531959685944,8355.788639113078,0.008395306742004394,0.53375,0.535,5954.177774625523,14309.9664137386,0.0,0.0,0.04285714285714286,0.01343551042128483,0.2386373983729235,26.935168380015842,1.1761369591431479,0.9200871000002735,3.431822999999895,6.266224400000283,3,0,0.7964874457473727,0.789800689324168,0.9953219678962113,0.1997690481695189
2,monopoly_free,False,70,6000,247,10579.616797072084,7752.152721997261,7402.148664699282,0.04514927270522151,0.59875,0.64625,9382.381100302051,16784.52976500133,0.11336032388663968,8.695719044846578,0.3142857142857143,0.08291348886735296,0.8968616978921728,24.814096049099412,1.2218552399163658,0.0010346999997636885,3.910934599999564,6.266224400000283,8,0,0.7327441882528936,0.6996613210742975,1.0,0.26725581174710644
3,uniform,True,70,6000,316,7206.210290716195,6996.575082258998,6996.575082258998,0.0,0.33375,0.33375,8171.995241731991,15168.570323990989,0.0,0.0,0.0,0.0,0.0,26.20440105714981,1.3557698460851299e-16,0.007487999999284511,1.4353682999999364,5.3671875,0,0,0.6169331922520974,0.6169331922520974,0.6354180819075909,0.029090909090908945
3,compute_metered,False,70,6000,316,8369.123212930735,7685.681133991687,7695.817907918405,-0.001318916794750491,0.86875,0.87375,10959.798076512656,18655.61598443106,0.0,0.0,0.14285714285714285,0.01773871645386206,0.2107835819342427,20.413679069950156,1.1841344094101638,0.18836999999984982,3.2070873000002393,5.3671875,8,0,0.6776961214420781,0.6785899462383853,0.7379596215863719,0.08166232728932643
3,demand_catalog,False,70,6000,316,7230.670231998678,6752.180315813384,6564.02502353661,0.027865857171515462,0.44,0.545,11691.316819833848,18255.341843370457,0.40189873417721517,2.2677676479513265,0.7142857142857143,0.3981655030104259,0.6939806902651314,24.453174695090656,0.47998527776540556,0.004683399999521498,0.8415196999994805,5.3671875,8,0,0.5953833279741717,0.5787924611945419,0.637574872834621,0.06617504336842517
3,version_chain,False,70,6000,316,7380.9167994660165,7579.566557764441,7579.566557764441,0.0,0.53125,0.53125,10056.895039872132,17636.461597636575,0.0,0.0,0.0,0.0,0.0,20.2869757792228,0.369971270583566,0.011641000000054191,0.7968007999998008,5.3671875,0,0,0.6683393142204488,0.6683393142204488,0.6508230826233763,-0.026913967965713548
3,support_set,True,70,6000,316,8618.370397583123,8750.790659508724,8750.790659508726,-2.220446049250313e-16,0.67625,0.67625,7993.547417021023,16744.338076529748,0.0,0.0,0.0,0.0,0.0,26.363353617406037,1.0252081083489688,0.554613899999822,2.3873155999999653,5.3671875,0,0,0.7716137042522069,0.771613704252207,0.7599373549029702,-0.01536488405774894
3,envyfree_mono,False,70,6000,316,11153.833657086052,8208.571940611271,8281.632418883917,-0.008900510198514011,0.4875,0.48875,6418.277785341272,14699.910204225189,0.0,0.0,0.02857142857142857,0.0033155858426507706,0.34406382633956334,29.471448438544392,1.091468140349901,0.5181849000000511,2.4647983000004388,5.3671875,2,0,0.7238027794475175,0.7302449934677028,0.9835055184876609,0.26405824284492985
3,monopoly_free,False,70,6000,316,11340.895854084614,7354.71358680225,7697.08367925676,-0.04655111153055369,0.4325,0.45625,6396.065505240792,14093.149184497552,0.0759493670886076,2.1098394671522636,0.24285714285714285,0.033640477604838834,0.6784399932657238,32.614071387071455,1.0291548530008445,0.0009288000001106411,2.1362362999998368,5.3671875,8,0,0.648512576204756,0.6787015574686303,1.0,0.351487423795244
4,uniform,True,70,6000,304,4879.233585650652,8688.459806027038,8688.459806027038,0.0,0.25375,0.25375,7251.467617364384,15939.927423391422,0.0,0.0,0.0,0.0,0.0,42.80029461097062,3.3202703028963406e-16,0.002469099999871105,0.394924400000491,1.7595211999996536,0,0,0.9104985154460182,0.9104985154460182,0.5113144372455471,-0.7807017543859651
4,compute_metered,False,70,6000,304,6428.173258218317,10017.556807112895,10276.662162625042,-0.025865124650770177,0.8375,0.8525,13130.58751825563,23407.24968088067,0.0,0.0,0.22857142857142856,0.013927759470805927,0.18466807021157616,18.643324359829602,1.3243738163704788,0.03359880000061821,2.4704300999992483,1.7595211999996536,8,0,1.0497799155317933,1.0769326039028981,0.6736340317276432,-0.5583831369675061
4,demand_catalog,False,70,6000,304,4185.780842483807,6615.864555028483,6327.532149526297,0.04358196923530344,0.6075,0.72625,18514.047048154265,24841.579197680563,0.27960526315789475,3.1340225675557196,0.5285714285714286,0.3520055630540416,0.7581048521969584,15.326395583295819,0.5732503041065019,0.0017129000007116701,1.8472659999997632,1.7595211999996536,8,0,0.6933029547500239,0.6630874467053635,0.4386447458064041,-0.5805568432729233
4,version_chain,False,70,6000,304,5535.336487998346,8536.28080679421,8536.28080679421,0.0,0.515,0.515,12965.434710129071,21501.71551692328,0.0,0.0,0.0,0.0,0.0,31.318306618981282,0.4301928818579159,0.016859900000781636,0.6326875000004293,1.7595211999996536,0,0,0.8945510683751996,0.8945510683751996,0.5800700892142662,-0.5421430703088201
4,support_set,True,70,6000,304,7211.563496239089,10816.276651965396,10816.276651965396,0.0,0.7375,0.7375,10703.357369739708,21519.634021705104,0.0,0.0,0.0,5.187336012837688e-18,1.4289642449525166e-15,21.188929417622134,1.1516623881514592,0.5712626999993518,2.3916145999992295,1.7595211999996536,0,0,1.133480968334156,1.133480968334156,0.755728633608408,-0.4998518223691999
4,envyfree_mono,False,70,6000,304,8793.953496703984,10677.993036025075,10836.347769936452,-0.01483000910162846,0.55875,0.57375,8494.577385598408,19330.92515553486,0.0,0.0,0.05714285714285714,0.005105198501067335,0.5450536183581709,25.568181391102883,1.0755129115052242,0.5642087000005631,2.1621394999992845,1.7595211999996536,4,0,1.1189896741537042,1.135584301206032,0.9215536219775177,-0.2142426088592848
4,monopoly_free,False,70,6000,304,9542.53044747788,6987.116055402144,10235.036681070163,-0.4648442361504592,0.39375,0.51375,7375.226029826005,17610.262710896168,0.049342105263157895,3.5070452029153065,0.12857142857142856,0.032591872393704646,0.7781251451942025,34.62536439710838,1.6962916398162284,0.0008582999998907326,2.1681167999995523,1.7595211999996536,8,0,0.7322078869812629,1.0725705029084098,1.0,0.26779211301873707
