family,seed,mechanism,revenue_train_norm,revenue_naive_norm,revenue_strategic_norm,generalization_gap,leakage,mono_violation_rate,sep_violation_rate,sep_mean_gain,sep_max_gain,served_naive,served_strategic,plans_verified,plans_failed,multi_source
answer_cells,2,monotone_constrained,0.9617780476318601,0.3984739167568482,0.3984739167568482,0.5856903599141285,0.0,0.0,0.0,0.0,0.0,0.34125,0.34125,0,0,0
answer_cells,3,uniform,0.41487875797875096,0.5393423853723762,0.5393423853723762,-0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.04875,0.04875,0,0,0
answer_cells,3,size_proportional,0.4997204267200969,0.6366393986738415,0.6366393986738415,-0.2739911451136967,0.0,0.0,0.0,0.0,0.0,0.99,0.99,0,0,0
answer_cells,3,support_set,0.03509903092351512,0.031898875832916986,0.03127286231466451,0.09117502695648916,0.019624939810778133,0.38446507083536885,0.1036036036036036,0.08344395645355036,0.9581632653061225,0.8025,0.82,23,0,1
answer_cells,3,compute_metered,0.18160103241639677,0.524341487874878,0.5233917160561712,-1.887326580129812,0.0018113611847809053,0.407914020517831,0.36036036036036034,0.1371295256054191,0.9894593958476788,0.85875,0.91125,80,0,1
answer_cells,3,monopoly_per_asset,1.0,0.32115362469810615,0.31999682672932594,0.6788463753018938,0.0036020081351024512,0.20859794821690278,0.3333333333333333,0.20373466813981259,0.9461046513768827,0.41,0.6275,74,0,1
answer_cells,3,monotone_constrained,0.9348609439231583,0.28750649346567725,0.28750649346567725,0.6924606859078402,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0,0,0
answer_cells,4,uniform,0.6331993832726022,0.3229316854690271,0.3229316854690271,0.49,0.0,0.0,0.0,0.0,0.0,0.06375,0.06375,0,0,0
answer_cells,4,size_proportional,0.6107013587731788,0.3432248922860606,0.3432248922860606,0.4379824322389658,0.0,0.0,0.0,0.0,0.0,0.9725,0.9725,0,0,0
answer_cells,4,support_set,0.016975233467394865,0.016650166622256764,0.016482308052687883,0.019149477134583814,0.010081494880928034,0.38446507083536885,0.1036036036036036,0.08344395645355036,0.9581632653061225,0.8225,0.8625,23,0,1
answer_cells,4,compute_metered,0.30017414683315335,0.2813073049128752,0.2801857958256066,0.06285298757179447,0.003986775557129287,0.407914020517831,0.36036036036036034,0.13712952560541913,0.989459395847679,0.8425,0.8925,80,0,1
answer_cells,4,monopoly_per_asset,1.0,0.2909984231805419,0.2809566253794356,0.7090015768194581,0.03450808321004598,0.22227650219833903,0.35135135135135137,0.23299002789626894,0.9638220051885928,0.41625,0.7525,78,0,0
answer_cells,4,monotone_constrained,0.97290148531723,0.2811881388988608,0.2811881388988608,0.7109798441646176,0.0,0.0,0.0,0.0,0.0,0.24375,0.24375,0,0,0
support_rows,0,uniform,0.6209719727861625,0.7651787342388732,0.7651787342388732,-0.23222748815165883,0.0,0.0,0.0,0.0,0.0,0.65,0.65,0,0,0
support_rows,0,size_proportional,0.2270658798631353,0.10081341731664228,0.10081341731664228,0.556016882072252,0.0,0.0,0.0,0.0,0.0,0.815,0.815,0,0,0
support_rows,0,support_set,0.2068014098938517,0.20491380131472417,0.19234483717629772,0.009127638830394913,0.06133781159582303,0.38446507083536885,0.1036036036036036,0.08344395645355036,0.9581632653061225,1.0,1.0,23,0,1
support_rows,0,compute_metered,0.18910272812193032,0.24685255587036925,0.2229729828191212,-0.3053886547379834,0.0967361790808763,0.407914020517831,0.36036036036036034,0.1371295256054191,0.9894593958476788,0.81375,0.815,80,0,1
support_rows,0,monopoly_per_asset,1.0,0.725496512137622,0.7089975980161509,0.274503487862378,0.022741548505668573,0.39228138739618956,0.35135135135135137,0.19464866736259337,0.9584748729497014,0.4775,0.61125,78,0,1
support_rows,0,monotone_constrained,0.7074473284038688,0.5427758885398533,0.5427758885398533,0.2327684807794025,0.0,0.0,0.0,0.0,0.0,0.295,0.295,0,0,0
support_rows,1,uniform,0.6136582906028755,0.5606805964501091,0.5606805964501091,0.08633093525179869,0.0,0.0,0.0,0.0,0.0,0.47625,0.47625,0,0,0
support_rows,1,size_proportional,0.19553406437079837,0.16780999988383677,0.16780999988383677,0.1417863663611444,0.0,0.0,0.0,0.0,0.0,0.8925,0.8925,0,0,0
support_rows,1,support_set,0.25365110421498066,0.3233797900199619,0.3173256285660287,-0.27489998918310676,0.01872152076528805,0.38446507083536885,0.1036036036036036,0.08344395645355036,0.9581632653061225,1.0,1.0,23,0,1
support_rows,1,compute_metered,0.2152809663361501,0.16497323065340186,0.15373822255354355,0.23368408521631823,0.06810200694597741,0.407914020517831,0.36036036036036034,0.1371295256054191,0.9894593958476788,0.94,0.94,80,0,1
support_rows,1,monopoly_per_asset,1.0,0.6747524113978525,0.725221587787228,0.32524758860214753,-0.07479658543912564,0.4386907669760625,0.35585585585585583,0.1983818280147327,0.9538818835717966,0.47125,0.6225,79,0,1
support_rows,1,monotone_constrained,0.5832549482836842,0.5223299945549226,0.5223299945549226,0.10445681413941277,0.0,0.0,0.0,0.0,0.0,0.21375,0.21375,0,0,0
support_rows,2,uniform,0.5850575521335428,0.5608482741142239,0.5608482741142239,0.04137931034482745,0.0,0.0,0.0,0.0,0.0,0.52125,0.52125,0,0,0
support_rows,2,size_proportional,0.1651273413875664,0.1930514090409318,0.1930514090409318,-0.16910626319493316,0.0,0.0,0.0,0.0,0.0,0.78125,0.78125,0,0,0
support_rows,2,support_set,0.234911423568731,0.20696541667856289,0.1960672602069031,0.11896401829088388,0.052656896241683036,0.38446507083536885,0.1036036036036036,0.08344395645355036,0.9581632653061225,1.0,1.0,23,0,1
support_rows,2,compute_metered,0.15766077761448713,0.15171209806719252,0.12984171297461755,0.037730877884164404,0.14415715932481996,0.407914020517831,0.36036036036036034,0.13712952560541913,0.989459395847679,0.85375,0.855,80,0,1
support_rows,2,monopoly_per_asset,1.0,0.5761446185869987,0.5717581070474328,0.4238553814130013,0.0076135598564192435,0.4049829018075232,0.34234234234234234,0.17141531205786548,0.9451070984928958,0.46625,0.55625,76,0,0
support_rows,2,monotone_constrained,0.6148197516547901,0.4366920451061948,0.4366920451061948,0.28972346133832516,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0,0,0
support_rows,3,uniform,0.6823486792986504,0.6633945493181322,0.6633945493181322,0.02777777777777779,0.0,0.0,0.0,0.0,0.0,0.56875,0.56875,0,0,0
support_rows,3,size_proportional,0.14958189084844287,0.18104192361076007,0.18104192361076007,-0.21031979595840689,0.0,0.0,0.0,0.0,0.0,0.82875,0.82875,0,0,0
