queries,distinct_q,tables,gb,group_agg,max_q_per_table,q_per_table
2,1,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,1,1,0.0,0,2,2.0
2,2,1,0.006,0,2,2.0
2,1,1,0.0,0,2,2.0
2,2,2,0.0,0,2,1.0
2,2,3,0.002,0,2,0.67
2,2,1,0.0,0,2,2.0
2,1,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,1,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,2,0.01,0,2,1.0
2,2,1,0.001,0,2,2.0
2,2,1,0.008,0,2,2.0
2,2,2,0.01,0,2,1.0
2,2,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,4,0.0,0,2,0.5
2,2,1,0.012,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,1,0.001,0,2,2.0
2,2,1,0.001,0,2,2.0
2,2,1,0.001,0,2,2.0
2,2,1,0.001,0,2,2.0
2,1,1,0.0,0,2,2.0
2,1,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,1,0.001,0,2,2.0
2,2,1,0.001,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,1,0.001,0,2,2.0
2,2,1,0.001,0,2,2.0
2,2,1,0.001,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,1,1,0.01,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,4,0.171,0,2,0.5
2,2,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,1,0.001,0,2,2.0
2,2,1,0.001,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,1,0.001,0,2,2.0
2,2,1,0.001,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
2,2,1,0.0,0,2,2.0
