family,seed,mechanism,revenue_train_norm,revenue_naive_norm,revenue_strategic_norm,generalization_gap,leakage,mono_violation_rate,sep_violation_rate,sep_mean_gain,sep_max_gain,served_naive,served_strategic,plans_verified,plans_failed
support_rows,2,monopoly_per_asset,1.0,0.5761446185869987,0.5717581070474328,0.4238553814130013,0.0076135598564192435,0.4049829018075232,0.34234234234234234,0.17141531205786548,0.9451070984928958,0.46625,0.55625,76,0
support_rows,2,monotone_constrained,0.6148197516547901,0.4366920451061948,0.4366920451061948,0.28972346133832516,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0,0
support_rows,3,uniform,0.6823486792986504,0.6633945493181322,0.6633945493181322,0.02777777777777779,0.0,0.0,0.0,0.0,0.0,0.56875,0.56875,0,0
support_rows,3,size_proportional,0.14958189084844287,0.18104192361076007,0.18104192361076007,-0.21031979595840689,0.0,0.0,0.0,0.0,0.0,0.82875,0.82875,0,0
support_rows,3,compute_metered,0.2394404402674707,0.21692520853775618,0.17869358102533775,0.09403270268198427,0.17624335949763154,0.46995603321934537,0.32432432432432434,0.1531774300705188,0.9873218090283621,0.8025,0.80375,72,0
support_rows,3,qirana_weighted_coverage,0.11830968138161561,0.21315006735015857,0.21172483819928128,-0.8016282764098492,0.006686505749660134,0.014655593551538837,0.009009009009009009,0.009009009009009009,1.0,0.98125,0.98125,2,0
support_rows,3,qirana_uniform_gain,0.11830968138161561,0.21315006735015857,0.21172483819928128,-0.8016282764098492,0.006686505749660134,0.014655593551538837,0.009009009009009009,0.009009009009009009,1.0,0.98125,0.98125,2,0
support_rows,3,qirana_shannon,0.1196483676469637,0.21356782037284386,0.21212651529121893,-0.7849622570948926,0.006748699682886313,0.014655593551538837,0.009009009009009009,0.009009009009009009,1.0,0.97875,0.97875,2,0
support_rows,3,querymarket_viewcover,0.3074900616500626,0.1495652118513657,0.1495652118513657,0.5135933465661807,0.0,0.05862237420615535,0.0,0.0,0.0,0.8775,0.8775,0,0
support_rows,3,monopoly_per_asset,1.0,0.5401224724233807,0.5559988956893479,0.45987752757661926,-0.029394117217034162,0.47337567171470446,0.36036036036036034,0.2136658159345224,0.9886605671770355,0.41625,0.6725,80,0
support_rows,3,monotone_constrained,0.5779362194857286,0.40999722868427235,0.40999722868427235,0.2905839522411232,0.0,0.0,0.0,0.0,0.0,0.2775,0.2775,0,0
support_rows,4,uniform,0.5706387586386542,0.537351497718066,0.537351497718066,0.05833333333333346,0.0,0.0,0.0,0.0,0.0,0.42375,0.42375,0,0
support_rows,4,size_proportional,0.17019113916347103,0.15624248735512558,0.15624248735512558,0.08195874283999927,0.0,0.0,0.0,0.0,0.0,0.8325,0.8325,0,0
support_rows,4,compute_metered,0.2026555079186345,0.19058432689292398,0.1303303744880625,0.05956502810946074,0.31615376451555727,0.46995603321934537,0.32432432432432434,0.1531774300705188,0.9873218090283621,0.85375,0.86,72,0
support_rows,4,qirana_weighted_coverage,0.14830835206893717,0.20961830013989544,0.20853128862936487,-0.4133951137320979,0.005185670858914035,0.014655593551538837,0.009009009009009009,0.009009009009009009,1.0,0.98,0.98,2,0
support_rows,4,qirana_uniform_gain,0.14830835206893717,0.20961830013989544,0.20853128862936487,-0.4133951137320979,0.005185670858914035,0.014655593551538837,0.009009009009009009,0.009009009009009009,1.0,0.98,0.98,2,0
support_rows,4,qirana_shannon,0.14948958222110853,0.21039707777909336,0.20929781133730044,-0.40743638889763667,0.005224722954313544,0.014655593551538837,0.009009009009009009,0.009009009009009009,1.0,0.9775,0.9775,2,0
