market,assets,pairs,falsified,zero_priced,family,seed,mechanism,revenue_norm,welfare_norm,served,mono_violation_rate,status
"('t', ('412', 'proteins_sig_axis_1_loadings.txt'))",81,19.0,0.0,70.0,support_rows,2.0,qirana_weighted_coverage,0.006088775623091422,1.8326732344912402,0.97,0.0,ok
"('t', ('412', 'proteins_sig_axis_1_loadings.txt'))",81,19.0,0.0,70.0,support_rows,2.0,querymarket_viewcover,0.5216058653417776,1.8084650096206167,0.89,0.0,ok
"('t', ('412', 'proteins_sig_axis_1_loadings.txt'))",81,19.0,0.0,70.0,support_rows,2.0,monopoly_per_asset,0.5732645005095811,1.0292093485919407,0.4275,0.47368421052631576,ok
"('t', ('412', 'proteins_sig_axis_1_loadings.txt'))",81,19.0,0.0,70.0,support_rows,2.0,chawla_ubp,0.7970261244739146,1.5260289669863198,0.56,0.0,ok
"('t', ('412', 'proteins_sig_axis_1_loadings.txt'))",81,19.0,0.0,70.0,support_rows,2.0,chawla_lpip,0.006253621653433195,1.8326732344912402,0.97,0.0,ok
"('t', ('412', 'proteins_sig_axis_1_loadings.txt'))",81,19.0,0.0,70.0,answer_cells,0.0,uniform,0.6627878932858648,1.3797941632099808,0.455,0.0,ok
"('t', ('412', 'proteins_sig_axis_1_loadings.txt'))",81,19.0,0.0,70.0,answer_cells,0.0,qirana_weighted_coverage,0.010212489997894496,1.6145348408955307,0.965,0.0,ok
"('t', ('412', 'proteins_sig_axis_1_loadings.txt'))",81,19.0,0.0,70.0,answer_cells,0.0,querymarket_viewcover,0.45552595858869205,1.5990803363654467,0.7225,0.0,ok
"('t', ('412', 'proteins_sig_axis_1_loadings.txt'))",81,19.0,0.0,70.0,answer_cells,0.0,monopoly_per_asset,0.5947525725108261,1.0579290522576545,0.59,0.3157894736842105,ok
"('t', ('412', 'proteins_sig_axis_1_loadings.txt'))",81,19.0,0.0,70.0,answer_cells,0.0,chawla_ubp,0.6926171795093661,1.298073243212442,0.4025,0.0,ok
"('t', ('412', 'proteins_sig_axis_1_loadings.txt'))",81,19.0,0.0,70.0,answer_cells,0.0,chawla_lpip,0.00982397786687117,1.6169889132261974,0.98,0.0,ok
"('t', ('412', 'proteins_sig_axis_1_loadings.txt'))",81,19.0,0.0,70.0,answer_cells,1.0,uniform,0.5040538359030596,0.9478013323070277,0.395,0.0,ok
"('t', ('412', 'proteins_sig_axis_1_loadings.txt'))",81,19.0,0.0,70.0,answer_cells,1.0,qirana_weighted_coverage,0.021764910905413146,1.1451469082297088,0.7125,0.0,ok
"('t', ('412', 'proteins_sig_axis_1_loadings.txt'))",81,19.0,0.0,70.0,answer_cells,1.0,querymarket_viewcover,0.3547886516292139,1.162440520582312,0.96,0.0,ok
"('t', ('412', 'proteins_sig_axis_1_loadings.txt'))",81,19.0,0.0,70.0,answer_cells,1.0,monopoly_per_asset,0.3752267499110813,0.670206189967044,0.4725,0.47368421052631576,ok
