family,seed,demand_mode,mechanism,revenue_train_norm,revenue_naive_norm,revenue_strategic_norm,surplus_naive_norm,welfare_naive_norm,surplus_strategic_norm,welfare_strategic_norm,generalization_gap,mono_violation_rate,comb_violation_rate,comb_mean_gain,comb_max_gain,served_naive,served_strategic,plans_verified,plans_failed
answer_cells,2,stationary,chawla_xos,0.5260998511889049,0.5278599752886329,0.5274055170259769,0.7941844596541641,1.3220444349427969,0.7952918412090122,1.322697358234989,-0.0033456084348824,0.0124333925399644,0.0315315315315315,0.0143307448447286,0.9346502423304178,0.37,0.37125,7,0
answer_cells,2,shift,uniform,0.5390336943630787,0.6594004416480378,0.6594004416480378,2.1452157713518365,2.8046162129998744,2.1452157713518365,2.8046162129998744,-0.2233009708737861,0.0,0.0,0.0,0.0,0.4725,0.4725,0,0
answer_cells,2,shift,size_proportional,0.593945644564867,1.0243301154361093,1.0243301154361093,0.8551449782158642,1.8794750936519733,0.8551449782158642,1.8794750936519733,-0.7246192893401013,0.0,0.0,0.0,0.0,0.42375,0.42375,0,0
answer_cells,2,shift,compute_metered,0.5390336943630787,0.6594004416480378,0.6594004416480378,2.1452157713518365,2.8046162129998744,2.1452157713518365,2.8046162129998744,-0.2233009708737861,0.0,0.0,0.0,0.0,0.4725,0.4725,0,0
answer_cells,2,shift,qirana_weighted_coverage,0.5452416760930003,0.6599480970835767,0.6599480970835767,2.163001805847802,2.82294990293138,2.163001805847802,2.82294990293138,-0.2103772070626002,0.0,0.0,0.0,0.0,0.48875,0.48875,0,0
answer_cells,2,shift,qirana_shannon,0.4429107949785221,0.5721830871938128,0.5568949971654826,2.3817501518687694,2.9539332390625823,2.3991284195124267,2.956023416677909,-0.2918698159559634,0.6305506216696269,0.036036036036036,0.0253170137785778,0.9349515051876164,0.65,0.6525,8,0
answer_cells,2,shift,querymarket_viewcover,0.593945644564867,1.0243301154361093,1.0243301154361093,0.8551449782158642,1.8794750936519733,0.8551449782158642,1.8794750936519733,-0.7246192893401013,0.0,0.0,0.0,0.0,0.42375,0.42375,0,0
answer_cells,2,shift,monopoly_per_asset,1.0,0.8373083430013697,0.9482528013863716,0.8827445204018235,1.720052863403193,1.4228042104018988,2.3710570117882703,0.1626916569986303,0.2557726465364121,0.036036036036036,0.0223875650877993,0.952586062425652,0.39,0.44125,8,0
answer_cells,2,shift,monotone_constrained,0.936085113620268,0.9009232730479776,1.0773963976139105,0.7904236719342266,1.6913469449822045,0.9593940866224744,2.0367904842363846,0.037562653289404,0.0,0.018018018018018,0.0061639381217678,0.5125813212010707,0.37875,0.3975,4,0
answer_cells,2,shift,chawla_ubp,0.5390336943630787,0.6594004416480378,0.6594004416480378,2.1452157713518365,2.8046162129998744,2.1452157713518365,2.8046162129998744,-0.2233009708737861,0.0,0.0,0.0,0.0,0.4725,0.4725,0,0
